Month of Stop,Reason for Stop,Officer Race,Officer Gender,Officer Years of Service,Driver Race,Driver Gender,Driver Age,Search Conducted,Results,CMPD Division
2020/01,Stop Light/Sign,Black/African American,M,10,White,M,59,Yes,Verbal Warning,North Division
2020/01,Vehicle Regulatory,White,M,13,Hispanic/Latino,M,31,Yes,Arrest,Westover Division
2020/01,Speeding,White,F,4,White,M,47,Yes,Written Warning,Freedom Division
2020/01,Vehicle Regulatory,White,M,4,Black,M,29,Yes,Verbal Warning,Hickory Grove Division
2020/01,Vehicle Equipment,White,M,26,White,M,32,Yes,Verbal Warning,Providence Division
2020/01,Safe Movement,White,F,4,White,F,45,Yes,Verbal Warning,Freedom Division
2020/01,Other,White,M,12,Other/Unknown,M,20,Yes,None,North Division
2020/01,Vehicle Regulatory,White,M,2,Hispanic/Latino,M,40,No,Arrest,University City Division
2020/01,Vehicle Regulatory,White,M,3,Black,M,21,No,Citation,North Tryon Division
2020/01,Vehicle Regulatory,White,F,2,Black,F,35,Yes,Citation,Hickory Grove Division
2020/01,Safe Movement,Hispanic/Latino,M,5,White,M,49,Yes,Citation,University City Division
2020/01,Speeding,White,M,11,White,M,65,Yes,Verbal Warning,South Division
2020/01,Safe Movement,White,M,23,Black,M,45,Yes,Verbal Warning,Steele Creek Division
2020/01,Speeding,White,M,11,Black,M,42,Yes,Verbal Warning,University City Division
2020/01,Vehicle Regulatory,White,M,2,Hispanic/Latino,M,40,Yes,Citation,North Tryon Division
2020/01,Speeding,White,M,11,Black,M,54,Yes,Verbal Warning,University City Division
2020/01,Vehicle Regulatory,Black/African American,M,2,Black,M,30,Yes,Verbal Warning,Eastway Division
2020/01,Speeding,White,M,4,White,M,46,Yes,Verbal Warning,
2020/01,Speeding,White,M,11,White,M,17,Yes,Citation,University City Division
2020/01,Speeding,White,M,4,White,F,47,Yes,Verbal Warning,
2020/01,Speeding,White,M,4,Black,M,20,Yes,Verbal Warning,South Division
2020/01,Speeding,White,M,8,White,M,50,Yes,Verbal Warning,South Division
2020/01,Speeding,White,M,4,White,M,33,Yes,Verbal Warning,South Division
2020/01,Speeding,White,M,4,White,M,23,Yes,Citation,
2020/01,Speeding,Black/African American,M,9,Black,F,45,Yes,Verbal Warning,South Division
2020/01,Speeding,White,M,8,Hispanic/Latino,F,42,Yes,Citation,South Division
2020/01,Speeding,White,M,4,Hispanic/Latino,F,50,Yes,Written Warning,South Division
2020/01,Speeding,White,M,4,Black,M,46,Yes,Verbal Warning,South Division
2020/01,Speeding,Black/African American,M,9,Black,F,60,Yes,Citation,South Division
2020/01,Speeding,White,M,4,White,M,53,Yes,Citation,South Division
2020/01,Vehicle Regulatory,White,F,2,White,F,30,Yes,Verbal Warning,Westover Division
2020/01,Speeding,White,M,4,Black,F,27,Yes,Verbal Warning,South Division
2020/01,Speeding,White,M,5,White,M,25,Yes,Citation,South Division
2020/01,Speeding,White,M,4,White,M,27,Yes,Citation,South Division
2020/01,Investigation,White,M,11,Black,F,26,Yes,Verbal Warning,University City Division
2020/01,Speeding,White,M,8,Black,F,35,Yes,Verbal Warning,South Division
2020/01,Speeding,Black/African American,M,9,White,M,34,Yes,Verbal Warning,South Division
2020/01,Speeding,White,M,4,Black,F,50,Yes,Verbal Warning,South Division
2020/01,Speeding,White,M,4,White,F,35,Yes,Verbal Warning,South Division
2020/01,Speeding,White,M,5,Black,M,23,Yes,Citation,South Division
2020/01,Safe Movement,White,M,9,White,F,40,Yes,Verbal Warning,North Tryon Division
2020/01,Speeding,Black/African American,M,9,Black,F,28,Yes,Verbal Warning,South Division
2020/01,Speeding,Black/African American,M,9,Black,F,28,Yes,Verbal Warning,South Division
2020/01,Speeding,White,M,9,Black,M,25,Yes,Verbal Warning,University City Division
2020/01,Speeding,White,M,9,Black,M,40,Yes,Verbal Warning,University City Division
2020/01,Speeding,White,M,4,White,M,40,Yes,Verbal Warning,South Division
2020/01,Speeding,White,M,4,Black,F,28,Yes,Verbal Warning,South Division
2020/01,Vehicle Equipment,White,M,21,Black,F,42,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Regulatory,White,M,5,White,F,23,Yes,Citation,South Division
2020/01,Safe Movement,Hispanic/Latino,M,4,Black,F,43,Yes,Verbal Warning,Steele Creek Division
2020/01,Speeding,White,M,5,White,M,70,Yes,Verbal Warning,Providence Division
2020/01,Vehicle Regulatory,Hispanic/Latino,M,19,Black,M,45,Yes,Verbal Warning,Freedom Division
2020/01,Speeding,White,M,10,Black,M,24,Yes,Citation,Independence Division
2020/01,Stop Light/Sign,White,F,2,Hispanic/Latino,F,24,Yes,Citation,Westover Division
2020/01,Vehicle Regulatory,Black/African American,F,4,Black,M,31,Yes,Verbal Warning,Eastway Division
2020/01,Speeding,White,M,10,Black,M,22,Yes,Citation,Independence Division
2020/01,Stop Light/Sign,White,M,1,Two or more,M,33,Yes,Citation,Central Division
2020/01,Vehicle Regulatory,White,M,5,Black,F,26,Yes,Verbal Warning,Eastway Division
2020/01,Speeding,White,M,10,Hispanic/Latino,M,45,Yes,Verbal Warning,Eastway Division
2020/01,Vehicle Regulatory,Black/African American,M,4,Black,M,33,Yes,Citation,Central Division
2020/01,Vehicle Equipment,White,M,2,Black,M,30,No,Verbal Warning,Freedom Division
2020/01,Vehicle Regulatory,Black/African American,F,4,Black,F,43,Yes,Verbal Warning,Eastway Division
2020/01,Vehicle Regulatory,Hispanic/Latino,M,3,Black,M,51,Yes,Citation,Eastway Division
2020/01,Speeding,White,M,10,Asian,M,32,Yes,Verbal Warning,Independence Division
2020/01,Stop Light/Sign,White,M,5,White,M,18,Yes,Verbal Warning,Providence Division
2020/01,Vehicle Regulatory,White,M,1,Black,M,52,Yes,Verbal Warning,Central Division
2020/01,Vehicle Regulatory,Black/African American,F,2,Black,M,22,Yes,Verbal Warning,Hickory Grove Division
2020/01,Speeding,White,M,10,Asian,M,24,Yes,Citation,Independence Division
2020/01,Vehicle Regulatory,White,M,9,Black,M,33,Yes,Citation,Eastway Division
2020/02,Vehicle Equipment,White,M,6,Black,M,30,Yes,Verbal Warning,Central Division
2020/01,Vehicle Regulatory,Black/African American,M,4,Hispanic/Latino,M,40,Yes,Verbal Warning,Hickory Grove Division
2020/01,Vehicle Regulatory,White,M,5,White,M,24,Yes,Citation,North Tryon Division
2020/01,Vehicle Equipment,White,M,5,Black,M,30,Yes,None,Central Division
2020/01,Speeding,White,M,10,Black,M,56,Yes,None,Independence Division
2020/01,Vehicle Regulatory,White,M,3,Black,F,34,Yes,Verbal Warning,Metro Division
2020/01,Vehicle Regulatory,Black/African American,M,4,Hispanic/Latino,M,25,Yes,None,Hickory Grove Division
2020/01,Vehicle Equipment,White,M,1,Hispanic/Latino,M,23,Yes,Citation,Hickory Grove Division
2020/01,Vehicle Regulatory,White,M,4,White,M,45,Yes,Verbal Warning,Providence Division
2020/01,Vehicle Regulatory,White,M,3,Black,M,35,No,Verbal Warning,Hickory Grove Division
2020/01,Vehicle Regulatory,Black/African American,M,4,Hispanic/Latino,M,25,Yes,Citation,Hickory Grove Division
2020/01,Vehicle Equipment,White,M,5,Black,M,22,Yes,Written Warning,South Division
2020/01,Vehicle Equipment,White,M,1,Black,F,24,Yes,Verbal Warning,Metro Division
2020/01,Vehicle Regulatory,White,M,4,Hispanic/Latino,M,35,Yes,Verbal Warning,Hickory Grove Division
2020/01,Vehicle Regulatory,Hispanic/Latino,M,2,Black,M,36,Yes,Verbal Warning,University City Division
2020/01,Vehicle Regulatory,White,M,2,Black,F,40,Yes,Verbal Warning,Hickory Grove Division
2020/01,Vehicle Equipment,White,M,2,Black,M,31,Yes,Verbal Warning,University City Division
2020/01,Stop Light/Sign,Hispanic/Latino,M,3,Black,M,28,Yes,Verbal Warning,Eastway Division
2020/01,Vehicle Regulatory,White,M,2,Black,M,45,Yes,Verbal Warning,Independence Division
2020/01,Vehicle Regulatory,White,M,5,Black,F,49,Yes,Verbal Warning,Eastway Division
2020/01,Vehicle Equipment,White,M,5,White,F,23,Yes,Verbal Warning,Providence Division
2020/01,Vehicle Regulatory,2 or More,F,1,Black,F,35,Yes,Verbal Warning,Independence Division
2020/01,Vehicle Regulatory,White,M,2,Black,F,36,Yes,Citation,University City Division
2020/01,Vehicle Regulatory,White,M,2,Black,F,45,Yes,Verbal Warning,North Division
2020/01,Stop Light/Sign,White,M,5,White,M,69,Yes,Verbal Warning,Providence Division
2020/01,Vehicle Regulatory,White,M,3,White,M,50,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Regulatory,White,M,2,Hispanic/Latino,M,40,Yes,Verbal Warning,Hickory Grove Division
2020/01,Vehicle Regulatory,White,M,4,Black,M,28,Yes,Verbal Warning,Hickory Grove Division
2020/01,Vehicle Regulatory,White,M,2,Black,F,23,Yes,Verbal Warning,North Division
2020/01,Vehicle Equipment,White,M,2,Black,M,30,Yes,Verbal Warning,Central Division
2020/01,Vehicle Equipment,White,M,3,Black,M,30,Yes,Verbal Warning,Metro Division
2020/01,Vehicle Regulatory,White,M,2,Black,M,25,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Regulatory,White,M,9,White,M,25,No,Citation,North Tryon Division
2020/01,Vehicle Regulatory,White,M,2,Black,M,29,Yes,Verbal Warning,Eastway Division
2020/01,Other,White,M,26,White,F,35,Yes,Verbal Warning,Central Division
2020/01,Safe Movement,White,M,2,White,F,26,Yes,Verbal Warning,University City Division
2020/01,Vehicle Regulatory,Hispanic/Latino,M,1,Black,F,29,Yes,Verbal Warning,University City Division
2020/01,Vehicle Equipment,White,M,5,White,F,25,Yes,Verbal Warning,Providence Division
2020/01,Stop Light/Sign,Hispanic/Latino,F,3,White,F,21,Yes,Verbal Warning,Independence Division
2020/01,Vehicle Regulatory,White,M,3,Black,M,24,Yes,Verbal Warning,Metro Division
2020/01,Vehicle Regulatory,White,M,4,Black,F,27,Yes,Verbal Warning,Central Division
2020/01,Vehicle Equipment,White,M,1,Black,M,20,No,Citation,North Division
2020/01,Safe Movement,White,M,2,Black,M,41,Yes,Verbal Warning,University City Division
2020/01,Vehicle Regulatory,Hispanic/Latino,M,6,Asian,M,28,Yes,Verbal Warning,Metro Division
2020/01,Vehicle Regulatory,Black/African American,M,3,Black,F,28,Yes,Written Warning,Metro Division
2020/01,Speeding,White,M,4,Black,M,34,Yes,Verbal Warning,Metro Division
2020/01,Vehicle Regulatory,Black/African American,M,4,Black,M,35,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Regulatory,White,M,1,White,F,37,Yes,Verbal Warning,Central Division
2020/01,Vehicle Regulatory,White,M,4,White,M,27,Yes,Verbal Warning,University City Division
2020/01,Vehicle Regulatory,White,M,5,Black,M,29,No,Verbal Warning,Metro Division
2020/01,Vehicle Regulatory,Hispanic/Latino,M,1,Black,M,25,Yes,Verbal Warning,University City Division
2020/01,Vehicle Regulatory,White,M,2,Black,M,29,Yes,Verbal Warning,Hickory Grove Division
2020/01,Vehicle Regulatory,White,M,4,Black,M,25,Yes,Verbal Warning,Hickory Grove Division
2020/01,Vehicle Regulatory,White,M,5,Black,F,40,Yes,Citation,Eastway Division
2020/01,Vehicle Equipment,Hispanic/Latino,M,2,Other/Unknown,M,20,Yes,None,South Division
2020/01,Vehicle Regulatory,White,M,3,Black,M,26,Yes,Verbal Warning,Metro Division
2020/01,Stop Light/Sign,Black/African American,M,4,Black,M,21,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Equipment,White,M,4,Black,M,25,Yes,Verbal Warning,Hickory Grove Division
2020/01,Vehicle Equipment,White,M,2,Black,F,31,Yes,Verbal Warning,University City Division
2020/01,Vehicle Equipment,White,M,1,Black,M,29,Yes,Verbal Warning,Hickory Grove Division
2020/01,Vehicle Equipment,White,M,2,Hispanic/Latino,M,42,Yes,Verbal Warning,Steele Creek Division
2020/01,Stop Light/Sign,White,M,2,Black,M,21,No,Arrest,North Division
2020/01,Vehicle Regulatory,White,M,2,Black,M,30,No,Verbal Warning,University City Division
2020/01,Stop Light/Sign,White,M,19,White,M,18,Yes,Citation,South Division
2020/01,Vehicle Regulatory,White,M,4,Black,F,35,Yes,Verbal Warning,University City Division
2020/01,Speeding,White,M,2,Black,F,21,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Regulatory,White,M,1,Black,F,30,Yes,Verbal Warning,Hickory Grove Division
2020/01,Vehicle Equipment,White,M,1,Black,M,25,No,Citation,University City Division
2020/01,Vehicle Regulatory,White,M,3,Black,F,29,Yes,Citation,Steele Creek Division
2020/01,Vehicle Regulatory,White,M,4,Black,M,40,Yes,Verbal Warning,Eastway Division
2020/01,Vehicle Regulatory,White,M,22,White,M,28,Yes,Verbal Warning,Eastway Division
2020/01,Speeding,White,M,4,Black,F,48,Yes,Verbal Warning,Steele Creek Division
2020/01,Vehicle Equipment,White,M,5,Black,F,43,No,Verbal Warning,Metro Division
2020/01,Vehicle Regulatory,White,M,4,Black,M,29,Yes,Verbal Warning,University City Division
2020/01,Safe Movement,White,M,2,Black,M,29,Yes,Citation,University City Division
2020/01,Vehicle Regulatory,White,M,4,Black,M,49,Yes,Verbal Warning,University City Division
2020/01,Vehicle Regulatory,White,M,5,White,F,38,Yes,Verbal Warning,Central Division
2020/01,Vehicle Regulatory,Black/African American,M,9,White,F,34,No,Arrest,Providence Division
2020/01,Vehicle Equipment,Black/African American,M,4,Black,F,69,Yes,Verbal Warning,Central Division
2020/01,Vehicle Regulatory,White,M,4,White,F,26,No,Arrest,South Division
2020/01,Vehicle Regulatory,White,M,4,Black,M,45,Yes,Verbal Warning,North Division
2020/01,Vehicle Regulatory,White,M,22,Black,F,52,Yes,Written Warning,Eastway Division
2020/01,Vehicle Equipment,Black/African American,M,4,Two or more,M,28,Yes,Citation,Central Division
2020/01,Speeding,White,M,4,White,M,21,Yes,Verbal Warning,Hickory Grove Division
2020/01,Vehicle Regulatory,White,M,4,Black,M,19,Yes,Verbal Warning,North Division
2020/01,Vehicle Equipment,Black/African American,M,2,White,F,40,Yes,Citation,Metro Division
2020/01,Vehicle Regulatory,Hispanic/Latino,M,2,Black,F,50,Yes,Verbal Warning,University City Division
2020/01,Stop Light/Sign,White,M,6,Black,M,25,Yes,Verbal Warning,Independence Division
2020/01,Vehicle Equipment,White,M,3,Black,M,17,Yes,Citation,Steele Creek Division
2020/01,Vehicle Regulatory,White,M,5,Black,M,44,Yes,None,Metro Division
2020/01,Vehicle Equipment,White,M,5,Black,M,40,No,Arrest,Metro Division
2020/01,Vehicle Regulatory,White,M,2,Hispanic/Latino,M,25,Yes,Verbal Warning,Hickory Grove Division
2020/01,Vehicle Regulatory,White,M,4,Hispanic/Latino,M,27,Yes,Verbal Warning,Eastway Division
2020/01,Vehicle Regulatory,Black/African American,M,4,Black,F,47,Yes,Verbal Warning,Central Division
2020/01,Vehicle Regulatory,Hispanic/Latino,M,3,Black,M,31,Yes,Citation,Eastway Division
2020/01,Vehicle Regulatory,White,M,2,Black,M,26,Yes,Citation,Steele Creek Division
2020/01,Vehicle Equipment,White,M,4,White,M,23,No,Arrest,Steele Creek Division
2020/01,Vehicle Regulatory,White,M,2,Black,F,19,Yes,Citation,Eastway Division
2020/01,Vehicle Regulatory,White,M,2,Black,F,35,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Equipment,White,M,2,Hispanic/Latino,M,37,Yes,Verbal Warning,Steele Creek Division
2020/01,Investigation,White,M,19,Black,F,30,Yes,Verbal Warning,South Division
2020/01,Vehicle Regulatory,White,M,1,White,M,22,Yes,Verbal Warning,Central Division
2020/01,Safe Movement,White,M,24,Black,F,29,Yes,Verbal Warning,North Tryon Division
2020/01,Safe Movement,White,M,22,Asian,F,31,Yes,Verbal Warning,Providence Division
2020/01,Speeding,Asian/Pacific Islander,M,10,Black,F,53,Yes,Citation,Providence Division
2020/01,Other,American Indian/Alaska Native,F,2,White,M,25,Yes,Verbal Warning,Providence Division
2020/01,Speeding,Asian/Pacific Islander,M,10,White,F,45,Yes,Citation,Providence Division
2020/01,Vehicle Regulatory,White,M,12,Hispanic/Latino,M,32,Yes,Verbal Warning,Providence Division
2020/01,Safe Movement,White,M,22,White,M,28,Yes,Verbal Warning,Central Division
2020/01,Vehicle Regulatory,Asian/Pacific Islander,M,10,Black,F,31,Yes,Citation,Providence Division
2020/01,Vehicle Equipment,Hispanic/Latino,F,1,Black,M,30,Yes,Citation,South Division
2020/01,Speeding,Asian/Pacific Islander,M,10,Black,M,46,Yes,Citation,Providence Division
2020/01,Investigation,Black/African American,M,1,White,F,61,Yes,Verbal Warning,Eastway Division
2020/01,Stop Light/Sign,White,M,12,Black,M,24,Yes,Verbal Warning,Metro Division
2020/01,Vehicle Regulatory,Asian/Pacific Islander,M,23,Black,M,60,Yes,Citation,Eastway Division
2020/01,Vehicle Regulatory,Asian/Pacific Islander,M,23,White,M,60,Yes,Citation,Eastway Division
2020/01,Investigation,Asian/Pacific Islander,M,23,Hispanic/Latino,M,34,Yes,Citation,Eastway Division
2020/01,Vehicle Equipment,White,M,3,Black,M,31,Yes,Verbal Warning,Freedom Division
2020/01,Speeding,White,M,30,White,F,23,Yes,Verbal Warning,South Division
2020/01,Vehicle Regulatory,Asian/Pacific Islander,M,10,White,F,29,Yes,Citation,Providence Division
2020/01,Vehicle Regulatory,White,M,15,Black,F,19,Yes,Verbal Warning,Providence Division
2020/01,Speeding,Asian/Pacific Islander,M,10,Black,M,31,Yes,Citation,Providence Division
2020/01,Vehicle Equipment,Black/African American,M,1,Black,M,38,Yes,Verbal Warning,Eastway Division
2020/01,Stop Light/Sign,White,M,25,White,F,70,Yes,Verbal Warning,South Division
2020/01,Speeding,White,M,22,White,M,45,Yes,Verbal Warning,Central Division
2020/01,Vehicle Regulatory,White,M,3,White,M,47,Yes,Citation,Freedom Division
2020/01,Vehicle Regulatory,Hispanic/Latino,F,1,Black,F,40,Yes,Verbal Warning,South Division
2020/01,Vehicle Regulatory,American Indian/Alaska Native,F,2,White,M,40,Yes,Citation,Providence Division
2020/01,Vehicle Regulatory,Black/African American,M,6,Black,M,44,Yes,None,Metro Division
2020/01,Vehicle Regulatory,White,M,15,White,F,50,Yes,Verbal Warning,Hickory Grove Division
2020/01,Vehicle Regulatory,Black/African American,M,6,Black,F,35,Yes,Verbal Warning,Metro Division
2020/01,Vehicle Regulatory,White,M,12,Black,M,23,No,Citation,Metro Division
2020/01,Stop Light/Sign,White,M,17,White,F,56,Yes,Verbal Warning,Providence Division
2020/01,Speeding,Asian/Pacific Islander,M,10,White,M,31,Yes,Citation,Providence Division
2020/01,Speeding,Asian/Pacific Islander,M,23,Black,M,45,Yes,Citation,
2020/01,Stop Light/Sign,Black/African American,M,12,Two or more,F,19,Yes,Citation,North Division
2020/01,Vehicle Equipment,Black/African American,F,2,Black,M,37,No,Arrest,Metro Division
2020/01,Vehicle Regulatory,White,M,21,Other/Unknown,M,41,Yes,Verbal Warning,Independence Division
2020/01,Vehicle Regulatory,White,M,9,Black,M,40,Yes,Verbal Warning,Hickory Grove Division
2020/01,Safe Movement,Asian/Pacific Islander,M,16,Asian,F,17,Yes,Verbal Warning,North Division
2020/01,Investigation,Asian/Pacific Islander,M,23,Hispanic/Latino,F,49,Yes,Citation,Eastway Division
2020/01,Vehicle Regulatory,White,M,21,White,M,42,Yes,Verbal Warning,Independence Division
2020/01,Vehicle Regulatory,White,M,9,White,M,28,Yes,Verbal Warning,Hickory Grove Division
2020/01,Speeding,White,M,21,Other/Unknown,M,23,Yes,Verbal Warning,University City Division
2020/01,Investigation,White,M,21,White,F,30,Yes,None,University City Division
2020/01,Vehicle Regulatory,White,M,3,White,M,46,Yes,Citation,Freedom Division
2020/01,Vehicle Regulatory,White,M,12,Black,M,38,Yes,Verbal Warning,Metro Division
2020/01,Speeding,Asian/Pacific Islander,M,10,White,M,16,Yes,Citation,Providence Division
2020/01,Vehicle Regulatory,Black/African American,M,27,Hispanic/Latino,M,29,Yes,Citation,Independence Division
2020/01,Vehicle Regulatory,White,M,9,Black,M,24,Yes,Citation,Hickory Grove Division
2020/01,Other,White,M,9,Hispanic/Latino,M,30,Yes,Citation,Hickory Grove Division
2020/01,Vehicle Regulatory,White,M,22,Black,M,55,Yes,Citation,
2020/01,Speeding,White,M,19,Black,F,26,Yes,Citation,North Division
2020/01,Vehicle Regulatory,White,M,3,White,M,48,Yes,Citation,Independence Division
2020/01,Investigation,White,F,2,Hispanic/Latino,M,30,Yes,None,Westover Division
2020/01,Vehicle Regulatory,Asian/Pacific Islander,M,10,White,M,51,Yes,Verbal Warning,Providence Division
2020/01,Vehicle Regulatory,Asian/Pacific Islander,M,5,Black,F,34,Yes,Citation,University City Division
2020/01,Investigation,White,M,3,Two or more,M,28,Yes,Citation,Independence Division
2020/01,Vehicle Regulatory,White,M,1,Black,M,35,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Regulatory,Asian/Pacific Islander,M,12,Black,M,45,Yes,Verbal Warning,Independence Division
2020/01,Vehicle Equipment,White,M,9,Hispanic/Latino,M,28,Yes,Verbal Warning,Hickory Grove Division
2020/01,Vehicle Regulatory,White,M,5,Black,F,66,Yes,Verbal Warning,North Division
2020/01,Vehicle Regulatory,White,M,9,Black,M,30,Yes,Citation,Hickory Grove Division
2020/01,Vehicle Regulatory,White,M,4,Black,F,30,Yes,Verbal Warning,Hickory Grove Division
2020/01,Vehicle Regulatory,White,M,3,Black,M,29,Yes,Citation,Hickory Grove Division
2020/01,Vehicle Regulatory,White,F,1,Black,M,31,Yes,Verbal Warning,University City Division
2020/01,Vehicle Regulatory,White,M,9,Black,M,31,Yes,Verbal Warning,Hickory Grove Division
2020/01,Vehicle Regulatory,White,M,3,Two or more,F,22,Yes,Citation,Hickory Grove Division
2020/01,Vehicle Regulatory,White,F,10,Black,F,32,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Regulatory,White,M,9,Hispanic/Latino,M,29,Yes,Citation,Hickory Grove Division
2020/01,Vehicle Regulatory,White,M,4,Black,M,55,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Regulatory,Asian/Pacific Islander,M,1,White,F,29,Yes,Verbal Warning,Central Division
2020/01,Vehicle Regulatory,White,F,5,Hispanic/Latino,M,26,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Regulatory,White,M,5,Asian,M,29,Yes,Verbal Warning,Central Division
2020/01,Vehicle Regulatory,White,M,9,Black,F,38,Yes,Citation,Hickory Grove Division
2020/01,Vehicle Equipment,White,F,10,Black,M,43,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Regulatory,White,M,4,White,M,21,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Regulatory,White,M,9,Black,F,22,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Regulatory,White,M,3,White,F,29,Yes,Verbal Warning,Independence Division
2020/01,Vehicle Regulatory,White,M,4,Black,M,25,Yes,Verbal Warning,North Tryon Division
2020/01,Other,White,M,9,Hispanic/Latino,M,33,Yes,Verbal Warning,Eastway Division
2020/01,Safe Movement,White,M,22,White,M,30,Yes,Verbal Warning,Central Division
2020/01,Vehicle Regulatory,White,F,10,Hispanic/Latino,M,52,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Regulatory,White,M,13,White,F,25,Yes,Citation,Westover Division
2020/01,Vehicle Regulatory,White,M,9,Black,M,38,Yes,Citation,Hickory Grove Division
2020/01,Investigation,White,M,3,Other/Unknown,M,37,Yes,Citation,Hickory Grove Division
2020/01,Vehicle Equipment,White,M,2,White,F,40,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Regulatory,White,M,9,Hispanic/Latino,M,23,Yes,Citation,Hickory Grove Division
2020/01,Safe Movement,White,M,7,White,M,50,Yes,Verbal Warning,Eastway Division
2020/01,Safe Movement,White,M,1,Black,M,25,Yes,Verbal Warning,North Tryon Division
2020/01,Speeding,White,M,1,Black,M,55,Yes,Verbal Warning,North Tryon Division
2020/01,Stop Light/Sign,White,M,1,Black,M,34,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Regulatory,White,M,5,White,M,36,Yes,Verbal Warning,University City Division
2020/01,Vehicle Regulatory,White,F,5,Hispanic/Latino,M,20,Yes,Verbal Warning,North Tryon Division
2020/01,Safe Movement,White,M,2,Other/Unknown,F,45,Yes,Verbal Warning,University City Division
2020/01,Stop Light/Sign,Black/African American,M,1,Other/Unknown,M,46,Yes,Verbal Warning,Central Division
2020/01,Stop Light/Sign,Black/African American,M,1,Other/Unknown,M,36,Yes,Verbal Warning,Central Division
2020/01,Vehicle Regulatory,White,M,9,Black,F,29,Yes,Citation,Hickory Grove Division
2020/01,Stop Light/Sign,White,M,9,Black,M,30,Yes,Verbal Warning,Eastway Division
2020/01,Stop Light/Sign,White,M,12,White,F,55,Yes,Verbal Warning,Freedom Division
2020/01,Stop Light/Sign,White,M,9,Hispanic/Latino,F,28,Yes,Citation,Hickory Grove Division
2020/01,Vehicle Equipment,White,M,2,Black,M,35,No,Verbal Warning,North Division
2020/01,Safe Movement,White,M,20,White,F,24,Yes,Verbal Warning,South Division
2020/01,Stop Light/Sign,White,M,6,White,M,60,Yes,Verbal Warning,Central Division
2020/01,Vehicle Equipment,Black/African American,M,10,Black,M,27,Yes,Verbal Warning,Westover Division
2020/01,Safe Movement,White,M,9,Black,M,19,Yes,Citation,Hickory Grove Division
2020/01,Safe Movement,White,M,20,Black,F,25,Yes,Verbal Warning,South Division
2020/01,Vehicle Regulatory,White,F,1,Black,F,40,Yes,Citation,Independence Division
2020/01,Vehicle Equipment,White,M,21,Hispanic/Latino,M,25,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Equipment,2 or More,M,1,Hispanic/Latino,F,40,Yes,Citation,Hickory Grove Division
2020/01,Vehicle Regulatory,White,M,4,Hispanic/Latino,M,27,Yes,Citation,Westover Division
2020/01,Vehicle Equipment,White,M,2,Hispanic/Latino,M,30,Yes,Verbal Warning,North Tryon Division
2020/01,Vehicle Regulatory,White,M,4,Black,F,31,Yes,Verbal Warning,Eastway Division
2020/01,Vehicle Equipment,White,M,20,White,M,18,Yes,Verbal Warning,South Division
2020/01,Vehicle Regulatory,Black/African American,F,2,Black,F,41,Yes,Verbal Warning,Central Division
2020/01,Vehicle Regulatory,2 or More,M,2,White,M,34,Yes,Citation,Central Division
2020/01,Vehicle Regulatory,White,M,12,Black,F,40,Yes,Verbal Warning,Freedom Division
2020/01,Vehicle Regulatory,Black/African American,F,2,Other/Unknown,F,27,Yes,Verbal Warning,Central Division
2020/01,Vehicle Equipment,White,F,2,Black,M,26,No,Citation,Metro Division
2020/01,Vehicle Regulatory,2 or More,M,2,White,F,25,Yes,Citation,Central Division
2020/01,Vehicle Regulatory,White,M,4,Black,F,27,Yes,Citation,Central Division
2020/01,Vehicle Regulatory,Black/African American,F,2,Black,M,22,No,Arrest,Central Division
2020/01,Vehicle Equipment,White,M,12,Black,M,22,No,Verbal Warning,Hickory Grove Division
2020/01,Vehicle Regulatory,White,M,1,White,F,25,Yes,Verbal Warning,University City Division
2020/01,Vehicle Regulatory,Hispanic/Latino,F,2,White,F,38,Yes,Verbal Warning,Providence Division
2020/01,Vehicle Regulatory,White,M,4,Black,F,29,Yes,Verbal Warning,Metro Division
2020/01,Vehicle Equipment,Hispanic/Latino,F,2,Hispanic/Latino,M,41,Yes,Citation,Providence Division
2020/01,Speeding,Asian/Pacific Islander,M,15,White,M,21,Yes,Verbal Warning,South Division
2020/01,Stop Light/Sign,White,M,4,Black,M,25,Yes,None,Metro Division
2020/01,Vehicle Regulatory,White,M,5,Black,F,32,Yes,Verbal Warning,University City Division
2020/01,Vehicle Regulatory,White,M,2,Two or more,M,29,Yes,Verbal Warning,University City Division
